# This file is semicolon delimited
StanFunction; Arguments; ReturnType
cbrt; (T x); R
ceil; (T x); R
chi_square; ~; real
chi_square_cdf; (reals y, reals nu); real
chi_square_lccdf; (reals y | reals nu); real
chi_square_lcdf; (reals y | reals nu); real
chi_square_lpdf; (reals y | reals nu); real
chi_square_lupdf; (reals y | reals nu); real
chi_square_rng; (reals nu); R
chol2inv; (matrix L); matrix
cholesky_decompose; (matrix A); matrix
choose; (T1 x, T2 y); R
choose; (int x, int y); int
col; (complex_matrix x, int n); complex_vector
col; (matrix x, int n); vector
cols; (complex_matrix x); int
cols; (complex_row_vector x); int
cols; (complex_vector x); int
cols; (matrix x); int
cols; (row_vector x); int
cols; (vector x); int
columns_dot_product; (complex_matrix x, complex_matrix y); complex_row_vector
columns_dot_product; (complex_row_vector x, complex_row_vector y); complex_row_vector
columns_dot_product; (complex_vector x, complex_vector y); complex_row_vector
columns_dot_product; (matrix x, matrix y); row_vector
columns_dot_product; (row_vector x, row_vector y); row_vector
columns_dot_product; (vector x, vector y); row_vector
columns_dot_self; (complex_matrix x); complex_row_vector
columns_dot_self; (complex_row_vector x); complex_row_vector
columns_dot_self; (complex_vector x); complex_row_vector
columns_dot_self; (matrix x); row_vector
columns_dot_self; (row_vector x); row_vector
columns_dot_self; (vector x); row_vector
complex_schur_decompose_t; (complex_matrix A); complex_matrix
complex_schur_decompose_t; (matrix A); complex_matrix
complex_schur_decompose_u; (complex_matrix A); complex_matrix
complex_schur_decompose_u; (matrix A); complex_matrix
conj; (Z z); Z
conj; (complex z); complex
cos; (T x); R
cos; (complex z); complex
cosh; (T x); R
cosh; (complex z); complex
cov_exp_quad; (array[] real x, real alpha, real rho); matrix
cov_exp_quad; (array[] real x1, array[] real x2, real alpha, real rho); matrix
cov_exp_quad; (row_vectors x, real alpha, real rho); matrix
cov_exp_quad; (row_vectors x1, row_vectors x2, real alpha, real rho); matrix
cov_exp_quad; (vectors x, real alpha, real rho); matrix
cov_exp_quad; (vectors x1, vectors x2, real alpha, real rho); matrix
crossprod; (matrix x); matrix
csr_extract_u; (matrix a); array[] int
csr_extract_v; (matrix a); array[] int
csr_extract_w; (matrix a); vector
csr_matrix_times_vector; (int m, int n, vector w, array[] int v, array[] int u, vector b); vector
csr_to_dense_matrix; (int m, int n, vector w, array[] int v, array[] int u); matrix
cumulative_sum; (array[] complex x); array[] complex
cumulative_sum; (array[] int x); array[] int
cumulative_sum; (array[] real x); array[] real
cumulative_sum; (complex_row_vector rv); complex_row_vector
cumulative_sum; (complex_vector v); complex_vector
cumulative_sum; (row_vector rv); row_vector
cumulative_sum; (vector v); vector
dae; (function residual, vector initial_state, vector initial_state_derivative, data real initial_time, data array[] real times, ...); array[] vector
dae_tol; (function residual, vector initial_state, vector initial_state_derivative, data real initial_time, data array[] real times, data real rel_tol, data real abs_tol, int max_num_steps, ...); array[] vector
determinant; (matrix A); real
diag_matrix; (complex_vector x); complex_matrix
diag_matrix; (vector x); matrix
diag_post_multiply; (complex_matrix m, complex_row_vector v); complex_matrix
diag_post_multiply; (complex_matrix m, complex_vector v); complex_matrix
diag_post_multiply; (matrix m, row_vector rv); matrix
diag_post_multiply; (matrix m, vector v); matrix
diag_pre_multiply; (complex_row_vector v, complex_matrix m); complex_matrix
diag_pre_multiply; (complex_vector v, complex_matrix m); complex_matrix
diag_pre_multiply; (row_vector rv, matrix m); matrix
diag_pre_multiply; (vector v, matrix m); matrix
diagonal; (complex_matrix x); complex_vector
diagonal; (matrix x); vector
digamma; (T x); R
dims; (T x); array[] int
dirichlet; ~; real
dirichlet_lpdf; (vectors theta | vectors alpha); real
dirichlet_lupdf; (vectors theta | vectors alpha); real
dirichlet_rng; (vector alpha); vector
discrete_range; ~; real
discrete_range_cdf; (ints y, ints l, ints u); real
discrete_range_lccdf; (ints y | ints l, ints u); real
discrete_range_lcdf; (ints y | ints l, ints u); real
discrete_range_lpmf; (ints y | ints l, ints u); real
discrete_range_lupmf; (ints y | ints l, ints u); real
discrete_range_rng; (ints l, ints u); int
distance; (row_vector x, row_vector y); real
distance; (row_vector x, vector y); real
distance; (vector x, row_vector y); real
distance; (vector x, vector y); real
dot_product; (complex_row_vector x, complex_row_vector y); complex
dot_product; (complex_row_vector x, complex_vector y); complex
dot_product; (complex_vector x, complex_row_vector y); complex
dot_product; (complex_vector x, complex_vector y); complex
dot_product; (row_vector x, row_vector y); real
dot_product; (row_vector x, vector y); real
dot_product; (vector x, row_vector y); real
dot_product; (vector x, vector y); real
dot_self; (complex_row_vector x); complex
dot_self; (complex_vector x); complex
dot_self; (row_vector x); real
dot_self; (vector x); real
double_exponential; ~; real
double_exponential_cdf; (reals y, reals mu, reals sigma); real
double_exponential_lccdf; (reals y | reals mu, reals sigma); real
double_exponential_lcdf; (reals y | reals mu, reals sigma); real
double_exponential_lpdf; (reals y | reals mu, reals sigma); real
double_exponential_lupdf; (reals y | reals mu, reals sigma); real
double_exponential_rng; (reals mu, reals sigma); R
e; (); real
eigenvalues; (matrix A); complex_vector
eigenvalues_sym; (complex_matrix A); complex_vector
eigenvalues_sym; (matrix A); vector
eigenvectors; (matrix A); complex_matrix
eigenvectors_sym; (complex_matrix A); complex_matrix
eigenvectors_sym; (matrix A); matrix
erf; (T x); R
erfc; (T x); R
exp2; (T x); R
exp; (T x); R
exp; (complex z); complex
exp_mod_normal; ~; real
exp_mod_normal_cdf; (reals y, reals mu, reals sigma, reals lambda); real
exp_mod_normal_lccdf; (reals y | reals mu, reals sigma, reals lambda); real
exp_mod_normal_lcdf; (reals y | reals mu, reals sigma, reals lambda); real
exp_mod_normal_lpdf; (reals y | reals mu, reals sigma, reals lambda); real
exp_mod_normal_lupdf; (reals y | reals mu, reals sigma, reals lambda); real
exp_mod_normal_rng; (reals mu, reals sigma, reals lambda); R
expm1; (T x); R
exponential; ~; real
exponential_cdf; (reals y, reals beta); real
exponential_lccdf; (reals y | reals beta); real
exponential_lcdf; (reals y | reals beta); real
exponential_lpdf; (reals y | reals beta); real
exponential_lupdf; (reals y | reals beta); real
exponential_rng; (reals beta); R
fabs; (T x); R
falling_factorial; (T1 x, T2 y); R
falling_factorial; (real x, real n); real
fdim; (T1 x, T2 y); R
fdim; (real x, real y); real
fft2; (complex_matrix m); complex_matrix
fft; (complex_vector v); complex_vector
floor; (T x); R
fma; (real x, real y, real z); real
fmax; (T1 x, T2 y); R
fmax; (real x, real y); real
fmin; (T1 x, T2 y); R
fmin; (real x, real y); real
fmod; (T1 x, T2 y); R
fmod; (real x, real y); real
frechet; ~; real
frechet_cdf; (reals y, reals alpha, reals sigma); real
frechet_lccdf; (reals y | reals alpha, reals sigma); real
frechet_lcdf; (reals y | reals alpha, reals sigma); real
frechet_lpdf; (reals y | reals alpha, reals sigma); real
frechet_lupdf; (reals y | reals alpha, reals sigma); real
frechet_rng; (reals alpha, reals sigma); R
gamma; ~; real
gamma_cdf; (reals y, reals alpha, reals beta); real
gamma_lccdf; (reals y | reals alpha, reals beta); real
gamma_lcdf; (reals y | reals alpha, reals beta); real
gamma_lpdf; (reals y | reals alpha, reals beta); real
gamma_lupdf; (reals y | reals alpha, reals beta); real
gamma_p; (T1 x, T2 y); R
gamma_p; (real a, real z); real
gamma_q; (T1 x, T2 y); R
gamma_q; (real a, real z); real
gamma_rng; (reals alpha, reals beta); R
gaussian_dlm_obs; ~; real
gaussian_dlm_obs_lpdf; (matrix y | matrix F, matrix G, matrix V, matrix W, vector m0, matrix C0); real
gaussian_dlm_obs_lpdf; (matrix y | matrix F, matrix G, vector V, matrix W, vector m0, matrix C0); real
gaussian_dlm_obs_lupdf; (matrix y | matrix F, matrix G, matrix V, matrix W, vector m0, matrix C0); real
gaussian_dlm_obs_lupdf; (matrix y | matrix F, matrix G, vector V, matrix W, vector m0, matrix C0); real
generalized_inverse; (matrix A); matrix
get_imag; (T x); T
get_imag; (complex z); real
get_lp; (); real
get_real; (T x); T
get_real; (complex z); real
gumbel; ~; real
gumbel_cdf; (reals y, reals mu, reals beta); real
gumbel_lccdf; (reals y | reals mu, reals beta); real
gumbel_lcdf; (reals y | reals mu, reals beta); real
gumbel_lpdf; (reals y | reals mu, reals beta); real
gumbel_lupdf; (reals y | reals mu, reals beta); real
gumbel_rng; (reals mu, reals beta); R
head; (array[] T sv, int n); array[] T
head; (complex_row_vector rv, int n); complex_row_vector
head; (complex_vector v, int n); complex_vector
head; (row_vector rv, int n); row_vector
head; (vector v, int n); vector
hmm_hidden_state_prob; (matrix log_omega, matrix Gamma, vector rho); matrix
hmm_latent_rng; (matrix log_omega, matrix Gamma, vector rho); array[] int
hmm_marginal; (matrix log_omega, matrix Gamma, vector rho); real
hypergeometric; ~; real
hypergeometric_lpmf; (int n | int N, int a, int b); real
hypergeometric_lupmf; (int n | int N, int a, int b); real
hypergeometric_rng; (int N, int a, int2 b); int
hypot; (T1 x, T2 y); R
hypot; (real x, real y); real
identity_matrix; (int k); matrix
inc_beta; (real alpha, real beta, real x); real
int_step; (int x); int
int_step; (real x); int
integrate_1d; (function integrand, real a, real b, array[] real theta, array[] real x_r, array[] int x_i), real relative_tolerance); real
integrate_1d; (function integrand, real a, real b, array[] real theta, array[] real x_r, array[] int x_i); real
integrate_ode; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i); array[,] real
integrate_ode_adams; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i); array[,] real
integrate_ode_adams; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i, real rel_tol, real abs_tol, int max_num_steps); array[,] real
integrate_ode_bdf; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i); array[,] real
integrate_ode_bdf; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i, real rel_tol, real abs_tol, int max_num_steps); array[,] real
integrate_ode_rk45; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i); array[,] real
integrate_ode_rk45; (function ode, array[] real initial_state, real initial_time, array[] real times, array[] real theta, array[] real x_r, array[] int x_i, real rel_tol, real abs_tol, int max_num_steps); array[,] real
inv; (T x); R
inv_Phi; (T x); R
inv_chi_square; ~; real
inv_chi_square_cdf; (reals y, reals nu); real
inv_chi_square_lccdf; (reals y | reals nu); real
inv_chi_square_lcdf; (reals y | reals nu); real
inv_chi_square_lpdf; (reals y | reals nu); real
inv_chi_square_lupdf; (reals y | reals nu); real
inv_chi_square_rng; (reals nu); R
inv_cloglog; (T x); R
inv_erfc; (T x); R
inv_fft2; (complex_matrix m); complex_matrix
inv_fft; (complex_vector u); complex_vector
inv_gamma; ~; real
inv_gamma_cdf; (reals y, reals alpha, reals beta); real
inv_gamma_lccdf; (reals y | reals alpha, reals beta); real
inv_gamma_lcdf; (reals y | reals alpha, reals beta); real
inv_gamma_lpdf; (reals y | reals alpha, reals beta); real
inv_gamma_lupdf; (reals y | reals alpha, reals beta); real
inv_gamma_rng; (reals alpha, reals beta); R
inv_inc_beta; (real alpha, real beta, real p); real
inv_logit; (T x); R
inv_sqrt; (T x); R
inv_square; (T x); R
inv_wishart; ~; real
inv_wishart_cholesky_lpdf; (matrix L_W | real nu, matrix L_S); real
inv_wishart_cholesky_lupdf; (matrix L_W | real nu, matrix L_S); real
inv_wishart_cholesky_rng; (real nu, matrix L_S); matrix
inv_wishart_lpdf; (matrix W | real nu, matrix Sigma); real
inv_wishart_lupdf; (matrix W | real nu, matrix Sigma); real
inv_wishart_rng; (real nu, matrix Sigma); matrix
inverse; (matrix A); matrix
inverse_spd; (matrix A); matrix
is_inf; (real x); int
is_nan; (real x); int
lambert_w0; (reals x); R
lambert_wm1; (T x); R
lbeta; (T1 x, T2 y); R
lbeta; (real alpha, real beta); real
lchoose; (T1 x, T2 y); R
lchoose; (real x, real y); real
ldexp; (T1 x, T2 y); R
ldexp; (real x, int y); real
lgamma; (T x); R
linspaced_array; (int n, data real lower, data real upper); array[] real
linspaced_int_array; (int n, int lower, int upper); array[] real
linspaced_row_vector; (int n, data real lower, data real upper); row_vector
linspaced_vector; (int n, data real lower, data real upper); vector
lkj_corr; ~; real
lkj_corr_cholesky; ~; real
lkj_corr_cholesky_lpdf; (matrix L | real eta); real
lkj_corr_cholesky_lupdf; (matrix L | real eta); real
lkj_corr_cholesky_rng; (int K, real eta); matrix
lkj_corr_lpdf; (matrix y | real eta); real
lkj_corr_lupdf; (matrix y | real eta); real
lkj_corr_rng; (int K, real eta); matrix
lmgamma; (T1 x, T2 y); R
lmgamma; (int n, real x); real
lmultiply; (T1 x, T2 y); R
lmultiply; (real x, real y); real
log10; (); real
log10; (T x); R
log10; (complex z); complex
log1m; (T x); R
log1m_exp; (T x); R
log1m_inv_logit; (T x); R
log1p; (T x); R
log1p_exp; (T x); R
log2; (); real
log2; (T x); R
log; (T x); R
log; (complex z); complex
log_determinant; (matrix A); real
log_diff_exp; (T1 x, T2 y); R
log_diff_exp; (real x, real y); real
log_falling_factorial; (real x, real n); real
log_inv_logit; (T x); R
log_inv_logit_diff; (T1 x, T2 y); R
log_mix; (T1 theta, T2 lp1, T3 lp3); R
log_mix; (real theta, real lp1, real lp2); real
log_modified_bessel_first_kind; (T1 x, T2 y); R
log_modified_bessel_first_kind; (real v, real z); real
log_rising_factorial; (T1 x, T2 y); R
log_rising_factorial; (real x, real n); real
log_softmax; (vector x); vector
log_sum_exp; (array[] real x); real
log_sum_exp; (matrix x); real
log_sum_exp; (real x, real y); real
log_sum_exp; (row_vector x); real
log_sum_exp; (vector x); real
logistic; ~; real
logistic_cdf; (reals y, reals mu, reals sigma); real
logistic_lccdf; (reals y | reals mu, reals sigma); real
logistic_lcdf; (reals y | reals mu, reals sigma); real
logistic_lpdf; (reals y | reals mu, reals sigma); real
logistic_lupdf; (reals y | reals mu, reals sigma); real
logistic_rng; (reals mu, reals sigma); R
logit; (T x); R
loglogistic; ~; real
loglogistic_cdf; (reals y, reals alpha, reals beta); real
loglogistic_lpdf; (reals y | reals alpha, reals beta); real
loglogistic_rng; (reals mu, reals sigma); R
lognormal; ~; real
lognormal_cdf; (reals y, reals mu, reals sigma); real
lognormal_lccdf; (reals y | reals mu, reals sigma); real
lognormal_lcdf; (reals y | reals mu, reals sigma); real
lognormal_lpdf; (reals y | reals mu, reals sigma); real
lognormal_lupdf; (reals y | reals mu, reals sigma); real
lognormal_rng; (reals mu, reals sigma); R
machine_precision; (); real
map_rect; (F f, vector phi, array[] vector theta, data array[,] real x_r, data array[,] int x_i); vector
matrix_exp; (matrix A); matrix
matrix_exp_multiply; (matrix A, matrix B); matrix
matrix_power; (matrix A, int B); matrix
max; (array[] int x); int
max; (array[] real x); real
max; (int x, int y); int
max; (matrix x); real
max; (row_vector x); real
max; (vector x); real
mdivide_left_spd; (matrix A, matrix B); vector
mdivide_left_spd; (matrix A, vector b); matrix
mdivide_left_tri_low; (matrix A, matrix B); matrix
mdivide_left_tri_low; (matrix A, vector b); vector
mdivide_right_spd; (matrix B, matrix A); matrix
mdivide_right_spd; (row_vector b, matrix A); row_vector
mdivide_right_tri_low; (matrix B, matrix A); matrix
mdivide_right_tri_low; (row_vector b, matrix A); row_vector
mean; (array[] real x); real
mean; (matrix x); real
mean; (row_vector x); real
mean; (vector x); real
min; (array[] int x); int
min; (array[] real x); real
min; (int x, int y); int
min; (matrix x); real
min; (row_vector x); real
min; (vector x); real
modified_bessel_first_kind; (T1 x, T2 y); R
modified_bessel_first_kind; (int v, real z); real
modified_bessel_second_kind; (T1 x, T2 y); R
modified_bessel_second_kind; (int v, real z); real
multi_gp; ~; real
multi_gp_cholesky; ~; real
multi_gp_cholesky_lpdf; (matrix y | matrix L, vector w); real
multi_gp_cholesky_lupdf; (matrix y | matrix L, vector w); real
multi_gp_lpdf; (matrix y | matrix Sigma, vector w); real
multi_gp_lupdf; (matrix y | matrix Sigma, vector w); real
multi_normal; ~; real
multi_normal_cholesky; ~; real
multi_normal_cholesky_lpdf; (row_vectors y | row_vectors mu, matrix L); real
multi_normal_cholesky_lpdf; (row_vectors y | vectors mu, matrix L); real
multi_normal_cholesky_lpdf; (vectors y | row_vectors mu, matrix L); real
multi_normal_cholesky_lpdf; (vectors y | vectors mu, matrix L); real
multi_normal_cholesky_lupdf; (row_vectors y | row_vectors mu, matrix L); real
multi_normal_cholesky_lupdf; (row_vectors y | vectors mu, matrix L); real
multi_normal_cholesky_lupdf; (vectors y | row_vectors mu, matrix L); real
multi_normal_cholesky_lupdf; (vectors y | vectors mu, matrix L); real
multi_normal_cholesky_rng; (row_vector mu, matrix L); vector
multi_normal_cholesky_rng; (row_vectors mu, matrix L); vectors
multi_normal_cholesky_rng; (vector mu, matrix L); vector
multi_normal_cholesky_rng; (vectors mu, matrix L); vectors
multi_normal_lpdf; (row_vectors y | row_vectors mu, matrix Sigma); real
multi_normal_lpdf; (row_vectors y | vectors mu, matrix Sigma); real
multi_normal_lpdf; (vectors y | row_vectors mu, matrix Sigma); real
multi_normal_lpdf; (vectors y | vectors mu, matrix Sigma); real
multi_normal_lupdf; (row_vectors y | row_vectors mu, matrix Sigma); real
multi_normal_lupdf; (row_vectors y | vectors mu, matrix Sigma); real
multi_normal_lupdf; (vectors y | row_vectors mu, matrix Sigma); real
multi_normal_lupdf; (vectors y | vectors mu, matrix Sigma); real
multi_normal_prec; ~; real
multi_normal_prec_lpdf; (row_vectors y | row_vectors mu, matrix Omega); real
multi_normal_prec_lpdf; (row_vectors y | vectors mu, matrix Omega); real
multi_normal_prec_lpdf; (vectors y | row_vectors mu, matrix Omega); real
multi_normal_prec_lpdf; (vectors y | vectors mu, matrix Omega); real
multi_normal_prec_lupdf; (row_vectors y | row_vectors mu, matrix Omega); real
multi_normal_prec_lupdf; (row_vectors y | vectors mu, matrix Omega); real
multi_normal_prec_lupdf; (vectors y | row_vectors mu, matrix Omega); real
multi_normal_prec_lupdf; (vectors y | vectors mu, matrix Omega); real
multi_normal_rng; (row_vector mu, matrix Sigma); vector
multi_normal_rng; (row_vectors mu, matrix Sigma); vectors
multi_normal_rng; (vector mu, matrix Sigma); vector
multi_normal_rng; (vectors mu, matrix Sigma); vectors
multi_student_cholesky_t_rng; (real nu, vector mu, matrix L); vector
multi_student_t; ~; real
multi_student_t_cholesky; ~; real
multi_student_t_cholesky_lpdf; (vectors y | real nu, vectors mu, matrix L); real
multi_student_t_cholesky_lupdf; (vectors y | real nu, vectors mu, matrix L); real
multi_student_t_cholesky_rng; (real nu, array[] row_vector mu, matrix L); array[] vector
multi_student_t_cholesky_rng; (real nu, array[] vector mu, matrix L); array[] vector
multi_student_t_lpdf; (row_vectors y | real nu, row_vectors mu, matrix Sigma); real
multi_student_t_lpdf; (row_vectors y | real nu, vectors mu, matrix Sigma); real
multi_student_t_lpdf; (vectors y | real nu, row_vectors mu, matrix Sigma); real
multi_student_t_lpdf; (vectors y | real nu, vectors mu, matrix Sigma); real
multi_student_t_lupdf; (row_vectors y | real nu, row_vectors mu, matrix Sigma); real
multi_student_t_lupdf; (row_vectors y | real nu, vectors mu, matrix Sigma); real
multi_student_t_lupdf; (vectors y | real nu, row_vectors mu, matrix Sigma); real
multi_student_t_lupdf; (vectors y | real nu, vectors mu, matrix Sigma); real
multi_student_t_rng; (real nu, row_vector mu, matrix Sigma); vector
multi_student_t_rng; (real nu, row_vectors mu, matrix Sigma); vectors
multi_student_t_rng; (real nu, vector mu, matrix Sigma); vector
multi_student_t_rng; (real nu, vectors mu, matrix Sigma); vectors
multinomial; ~; real
multinomial_logit; ~; real
multinomial_logit_lpmf; (array[] int y | vector gamma); real
multinomial_logit_lupmf; (array[] int y | vector gamma); real
multinomial_logit_rng; (vector gamma, int N); array[] int
multinomial_lpmf; (array[] int y | vector theta); real
multinomial_lupmf; (array[] int y | vector theta); real
multinomial_rng; (vector theta, int N); array[] int
multiply_log; (T1 x, T2 y); R
multiply_log; (real x, real y); real
multiply_lower_tri_self_transpose; (matrix x); matrix
neg_binomial; ~; real
neg_binomial_2; ~; real
neg_binomial_2_cdf; (ints n, reals mu, reals phi); real
neg_binomial_2_lccdf; (ints n | reals mu, reals phi); real
neg_binomial_2_lcdf; (ints n | reals mu, reals phi); real
neg_binomial_2_log; ~; real
neg_binomial_2_log_glm; ~; real
neg_binomial_2_log_glm_lpmf; (array[] int y | matrix x, real alpha, vector beta, real phi); real
